Any,Salari,Index
01/2002,,69500
01/2003,,72111
01/2004,"18.310,11",73773
01/2005,"18.676,92",76046
01/2006,"19.680,88",79234
01/2007,"20.390,35",81129
01/2008,"21.883,42",84598
01/2009,"22.511,47",85281
01/2010,"22.790,20",86158
01/2011,"22.899,35",88975
01/2012,"22.726,44",90753
01/2013,"22.697,86",93188
01/2014,"22.858,17",93373
01/2015,"23.106,30",92141
01/2016,"23.156,34",91876
01/2017,"23.646,50",94609
01/2018,"24.009,12",95153
01/2019,"24.395,98",96085
01/2020,"25.165,51",97139
01/2021,"25.896,82",97583
01/2022,"25.540,44",103567
01/2023,,109668
01/2024,,113404
02/2002,,69590
02/2003,,72264
02/2004,"18.310,11",73807
02/2005,"18.676,92",76243
02/2006,"19.680,88",79272
02/2007,"20.390,35",81184
02/2008,"21.883,42",84730
02/2009,"22.511,47",85290
02/2010,"22.790,20",86001
02/2011,"22.899,35",89088
02/2012,"22.726,44",90847
02/2013,"22.697,86",93349
02/2014,"22.858,17",93333
02/2015,"23.106,30",92331
02/2016,"23.156,34",91552
02/2017,"23.646,50",94269
02/2018,"24.009,12",95281
02/2019,"24.395,98",96320
02/2020,"25.165,51",97024
02/2021,"25.896,82",97008
02/2022,"25.540,44",104403
02/2023,,110703
02/2024,,113807
03/2002,,70165
03/2003,,72765
03/2004,"18.310,11",74322
03/2005,"18.676,92",76846
03/2006,"19.680,88",79833
03/2007,"20.390,35",81800
03/2008,"21.883,42",85482
03/2009,"22.511,47",85430
03/2010,"22.790,20",86639
03/2011,"22.899,35",89754
03/2012,"22.726,44",91458
03/2013,"22.697,86",93678
03/2014,"22.858,17",93541
03/2015,"23.106,30",92920
03/2016,"23.156,34",92139
03/2017,"23.646,50",94249
03/2018,"24.009,12",95393
03/2019,"24.395,98",96669
03/2020,"25.165,51",96652
03/2021,"25.896,82",97949
03/2022,"25.540,44",107566
03/2023,,111111
04/2002,,71118
04/2003,,73357
04/2004,"18.310,11",75340
04/2005,"18.676,92",77953
04/2006,"19.680,88",80959
04/2007,"20.390,35",82930
04/2008,"21.883,42",86402
04/2009,"22.511,47",86264
04/2010,"22.790,20",87562
04/2011,"22.899,35",90871
04/2012,"22.726,44",92743
04/2013,"22.697,86",94028
04/2014,"22.858,17",94373
04/2015,"23.106,30",93774
04/2016,"23.156,34",92785
04/2017,"23.646,50",95154
04/2018,"24.009,12",96181
04/2019,"24.395,98",97644
04/2020,"25.165,51",96944
04/2021,"25.896,82",99105
04/2022,"25.540,44",107375
04/2023,,111773
05/2002,,71374
05/2003,,73289
05/2004,"18.310,11",75784
05/2005,"18.676,92",78102
05/2006,"19.680,88",81251
